"strataID","YEAR","BpS_Code","SCLASS","ew","sclass","PERC_AREA","AREA_TOTAL","PERC_AREA_VAR","AREA_TOTAL_VAR","nPlots_AREA","N","AREA_STRATA","avg","low","high","departure"
"2011_eastside_Na0210290_fwo",2011,"Na0210290_fwo","A","eastside","A",0.187851734586245,21289.9386355966,0.00573226585243178,146572599.459549,8,7550,163437.345514965,15131.0036246749,12173.0145218896,18088.9925640228,3200.94607157381
"2011_eastside_Na0210290_fwo",2011,"Na0210290_fwo","B","eastside","B",0.361943813430749,2798.22877066972,0.013771077974354,352546990.239689,9,7550,163437.345514965,1786.22995723612,774.23114380251,2798.22877066973,0
"2011_eastside_Na0210290_fwo",2011,"Na0210290_fwo","C","eastside","C",0.176910035404634,30598.702563597,0.00524127462219987,134235765.197508,8,7550,163437.345514965,34615.5719920648,30598.702563597,38632.4445258422,0
"2011_eastside_Na0210290_fwo",2011,"Na0210290_fwo","D",NA,NA,0,101110.148683803,NA,NA,NA,NA,163437.345514965,106106.850985171,101110.148683803,111103.553286539,0
"2011_eastside_Na0210290_fwo",2011,"Na0210290_fwo","E","eastside","E",0.295312501587373,7640.32686129845,0.0112250709863764,287107199.576895,7,7550,163437.345514965,5797.68715800722,3955.04712784131,7640.32686129845,2.72848410531878e-12
"2011_eastside_Na0710270_fdd",2011,"Na0710270_fdd","A","eastside","A",0.898447807386041,236343.475583394,0.0155776450497793,1233780492.15291,74,14475,1591716.02441488,143678.898742706,116616.011262452,170741.787814676,65601.6877687177
"2011_eastside_Na0710270_fdd",2011,"Na0710270_fdd","B","eastside","B",2.7410993398235,125334.863401576,0.0483730549630189,4373511994.13878,159,14816,1591716.02441488,100404.24189106,75473.6124219645,125334.863401576,0
"2011_eastside_Na0710270_fdd",2011,"Na0710270_fdd","C","eastside","C",0.918417840482005,282792.356406668,0.0166890617152539,1321101993.4898,61,14475,1591716.02441488,319147.946262316,282792.356406668,355503.536117965,0
"2011_eastside_Na0710270_fdd",2011,"Na0710270_fdd","D","eastside","D",0.0278930497801254,629453.12051786,0.000300908057722178,23776802.8821882,3,14475,1591716.02441488,672936.893837361,629453.12051786,716420.60826337,0
"2011_eastside_Na0710270_fdd",2011,"Na0710270_fdd","E","eastside","E",0.886677036162241,317792.208505385,0.0150865717113144,1191096839.30047,61,14475,1591716.02441488,355548.043681439,317792.208505385,393303.907508382,0
"2011_eastside_Na0710412_fmc",2011,"Na0710412_fmc","A","eastside","A",0.0365237219236405,2567.87527822279,0.000544020613083761,7989822.14108202,3,6925,15219.259480108,2244.9986883523,1922.12209848181,2567.87527822279,0
"2011_eastside_Na0710412_fmc",2011,"Na0710412_fmc","B",NA,NA,0,3069.14901430573,NA,NA,NA,NA,15219.259480108,3453.43845134591,3069.14901430573,3837.72759922016,0
"2011_eastside_Na0710412_fmc",2011,"Na0710412_fmc","C",NA,NA,0,2080.16261764182,NA,NA,NA,NA,15219.259480108,2426.39649420237,2080.16261764182,2772.63023378957,0
"2011_eastside_Na0710412_fmc",2011,"Na0710412_fmc","D",NA,NA,0,534.208046186041,NA,NA,NA,NA,15219.259480108,749.753578478296,534.208046186041,965.299125989811,0
"2011_eastside_Na0710412_fmc",2011,"Na0710412_fmc","E","eastside","E",0.0890614461139068,6967.86452375164,0.00136758703121007,20084451.4516514,6,6925,15219.259480108,6344.67219163286,5932.61938574832,6756.72559106852,211.138932683124
"2011_eastside_Na0710412_fmh",2011,"Na0710412_fmh","A","eastside","A",0.447236280677743,234371.901116731,0.00332791646755428,914255250.861637,94,24303,1597355.33589162,235626.486202979,201738.592752039,269514.37965392,0
"2011_eastside_Na0710412_fmh",2011,"Na0710412_fmh","B","eastside","B",0.856833107773668,402793.228299,0.00726397213689106,1995061198.3401,141,24303,1597355.33589162,362459.707362288,322126.156075826,402793.228299,0
"2011_eastside_Na0710412_fmh",2011,"Na0710412_fmh","C","eastside","C",0.252592860766251,202790.386819594,0.00232754485169013,639539304.647946,43,24303,1597355.33589162,254665.306946679,218325.921911994,291004.677605166,-15535.5350924005
"2011_eastside_Na0710412_fmh",2011,"Na0710412_fmh","D","eastside","D",0.23949985116588,101314.108721694,0.00159580052538892,438260618.433046,55,24303,1597355.33589162,78691.2714611028,56068.4357978666,101314.108721694,0
"2011_eastside_Na0710412_fmh",2011,"Na0710412_fmh","E","eastside","E",1.25196464152101,656085.710934602,0.0117098838131169,3215516238.71361,182,24303,1597355.33589162,665912.555931794,622665.067510359,709160.106650087,0
"2011_eastside_Na0710412_fmi",2011,"Na0710412_fmi","A",NA,NA,0,4148.33160409294,NA,NA,NA,NA,32846.2667080776,4845.16515230481,4148.33160409294,5541.99870051668,0
"2011_eastside_Na0710412_fmi",2011,"Na0710412_fmi","B","eastside","B",0.0367163015010632,6623.84968351982,0.00146184080156008,37383071.3139799,1,7550,32846.2667080776,7453.22468422972,6623.84968351982,8282.59906086056,0
"2011_eastside_Na0710412_fmi",2011,"Na0710412_fmi","C","eastside","C",0.0133311439757663,4489.41528492497,0.000181541610987034,2666001.04624936,2,6925,32846.2667080776,5236.65862273279,4489.41528492497,5983.90166492421,0
"2011_eastside_Na0710412_fmi",2011,"Na0710412_fmi","D",NA,NA,0,1152.92994285049,NA,NA,NA,NA,32846.2667080776,1618.12117312418,1152.92994285049,2083.31243624414,0
"2011_eastside_Na0710412_fmi",2011,"Na0710412_fmi","E","eastside","E",0.180290951288605,16431.7401926894,0.00543724373275153,107566640.341617,8,7266,32846.2667080776,13693.0969114548,12803.8028970131,14582.3922069009,1849.3479857885
"2011_eastside_Na1010471_frn",2011,"Na1010471_frn","A","eastside","A",0.812268491623933,91865.8770583607,0.0130353657722999,650533541.618077,70,9487,651559.448186445,78752.2065325264,65638.5425222866,91865.8770583607,0
"2011_eastside_Na1010471_frn",2011,"Na1010471_frn","B","eastside","B",1.3389639374769,246303.857195533,0.0176609706230836,711778945.437421,102,9144,651559.448186445,227561.109185512,208818.360523932,246303.857195533,0
"2011_eastside_Na1010471_frn",2011,"Na1010471_frn","C","eastside","C",0.701778656550469,41369.7865656288,0.0100369211374514,405644161.888176,59,9144,651559.448186445,32266.4983244734,23163.2107348775,41369.7865656288,0
"2011_eastside_Na1010471_frn",2011,"Na1010471_frn","D","eastside","D",0.0350085372007718,49121.7222675809,0.0011530580239651,4333918.51172484,1,3288,651559.448186445,60870.3490355272,49121.7222675809,72618.9751519141,0
"2011_eastside_Na1010471_frn",2011,"Na1010471_frn","E","eastside","E",0.25882380201578,222898.205099342,0.00436733771854346,218038176.794995,20,9487,651559.448186445,252109.294230238,232826.744854822,271391.819497955,-9928.53975547987
"2011_eastside_R1RFWF_fcw",2011,"R1RFWF_fcw","A","eastside","A",0.0955539895340566,32178.0756592434,0.00123218354561136,111302159.067655,15,14816,217298.672265848,36779.6429737356,32178.0756592434,41381.2124612146,0
"2011_eastside_R1RFWF_fcw",2011,"R1RFWF_fcw","B","eastside","B",0.245971482984006,48910.6449192217,0.00351703491051809,51644696.7646107,18,6925,217298.672265848,54680.1541352779,48910.6449192217,60449.6592226593,0
"2011_eastside_R1RFWF_fcw",2011,"R1RFWF_fcw","C","eastside","C",0.0382220859247747,14985.3855872863,0.000305802159953916,24162102.5904742,8,14475,217298.672265848,19064.7268254742,14985.3855872863,23144.0691501555,0
"2011_eastside_R1RFWF_fcw",2011,"R1RFWF_fcw","D","eastside","D",0.0930163643773741,31354.9867505653,0.00296159129813226,58641004.3624994,8,7266,217298.672265848,36072.5750413484,31354.9867505653,40790.169633793,0
"2011_eastside_R1RFWF_fcw",2011,"R1RFWF_fcw","E","eastside","E",0.448947062499857,89869.5793495314,0.00402419943128573,363150066.644457,61,14816,217298.672265848,70701.5711170252,65018.2579825954,76384.8881628311,13484.6911867003
"2011_eastside_RaABAMlw_fsi",2011,"RaABAMlw_fsi","A","eastside","A",0.26816660683437,54982.7774362099,0.00280488764771164,117904968.141218,28,10556,445030.075075745,58540.9974781473,49242.1514683193,67839.8434879753,0
"2011_eastside_RaABAMlw_fsi",2011,"RaABAMlw_fsi","B","eastside","B",0.279164605550188,104851.943670988,0.00247073001293386,678490782.335966,46,24303,445030.075075745,92669.1216474283,80486.2907232674,104851.943670988,0
"2011_eastside_RaABAMlw_fsi",2011,"RaABAMlw_fsi","C","eastside","C",0.18267142670436,26025.4045063996,0.00159548691332015,406126221.187782,32,23962,445030.075075745,13184.9714536901,8938.93238691125,17431.0091853788,8594.39532102079
"2011_eastside_RaABAMlw_fsi",2011,"RaABAMlw_fsi","D","eastside","D",0.0514630709262493,26034.2972194875,0.00135115385967371,27896971.3777962,3,7268,445030.075075745,34172.5368356833,26034.2972194875,42310.7746717589,0
"2011_eastside_RaABAMlw_fsi",2011,"RaABAMlw_fsi","E","eastside","E",0.275137883356959,233135.652242661,0.00215687301804364,592154098.893179,55,24303,445030.075075745,246462.447660796,233135.652242661,259789.243078932,0
"2011_eastside_RaABAMlw_fsw",2011,"RaABAMlw_fsw","A","eastside","A",0.00634255856421251,779.657200487519,4.27248378124485e-05,627480.837540356,1,6925,7046.21735891323,926.887003239971,779.657200487519,1074.11680599242,0
"2011_eastside_RaABAMlw_fsw",2011,"RaABAMlw_fsw","B","eastside","B",0.0314340112838954,1660.13406056783,0.000383262143244687,5628585.64151231,3,6925,7046.21735891323,1467.24190151916,1274.34960154614,1660.13406056783,0
"2011_eastside_RaABAMlw_fsw",2011,"RaABAMlw_fsw","C","eastside","C",0.00565568018895724,502.955570617589,3.50627293466245e-05,514927.830272849,1,6925,7046.21735891323,208.759317486474,141.531244925605,275.987368908691,226.968201708898
"2011_eastside_RaABAMlw_fsw",2011,"RaABAMlw_fsw","D",NA,NA,0,412.204314424899,NA,NA,NA,NA,7046.21735891323,541.058089632956,412.204314424899,669.911836656143,0
"2011_eastside_RaABAMlw_fsw",2011,"RaABAMlw_fsw","E","eastside","E",0.0147112090586147,3691.26621281538,0.000237226541458044,3483962.02202399,1,6925,7046.21735891323,3902.27104703467,3691.26621281538,4113.27588125395,0
"2011_eastside_RaABLA_faf",2011,"RaABLA_faf","A",NA,NA,0,480.73903473857,NA,NA,NA,NA,3716.14215603071,567.132245750908,480.73903473857,653.525453047104,0
"2011_eastside_RaABLA_faf",2011,"RaABLA_faf","B","eastside","B",0.0606146985861359,1049.08472725225,0.00201045726561518,7556676.74910465,2,3288,3716.14215603071,786.327523284066,689.812362306116,882.842684262015,166.242042990239
"2011_eastside_RaABLA_faf",2011,"RaABLA_faf","C",NA,NA,0,11.5792053829614,NA,NA,NA,NA,3716.14215603071,32.5477678991783,11.5792053829614,53.5163304153953,0
"2011_eastside_RaABLA_faf",2011,"RaABLA_faf","D",NA,NA,0,59.4911549222879,NA,NA,NA,NA,3716.14215603071,96.8785625193875,59.4911549222879,134.265977548772,0
"2011_eastside_RaABLA_faf",2011,"RaABLA_faf","E",NA,NA,0,2115.24803373464,NA,NA,NA,NA,3716.14215603071,2233.25607515788,2115.24803373464,2351.26397536772,0
"2011_eastside_RaDFHEdy_fwi",2011,"RaDFHEdy_fwi","A","eastside","A",0.318039686170009,46979.6418402148,0.00524808129629517,474165980.830031,29,14816,445198.307431891,25111.5828224408,18762.3137032801,31460.8541675929,15518.7876726219
"2011_eastside_RaDFHEdy_fwi",2011,"RaDFHEdy_fwi","B","eastside","B",0.257901944214473,72497.0241090584,0.0039891850008156,315106343.545638,22,14475,445198.307431891,75640.6179576586,66256.3567382208,85024.8711635268,0
"2011_eastside_RaDFHEdy_fwi",2011,"RaDFHEdy_fwi","C","eastside","C",0.144006071529475,32246.6412005645,0.00190952704007635,150900387.65075,23,14475,445198.307431891,26121.5004913059,19996.3575560557,32246.6412005645,0
"2011_eastside_RaDFHEdy_fwi",2011,"RaDFHEdy_fwi","D","eastside","D",0.0733971356268193,57623.2728353349,0.000359700942123566,63640079.6792511,20,20331,445198.307431891,68211.7540729333,57623.2728353349,78800.2397625149,0
"2011_eastside_RaDFHEdy_fwi",2011,"RaDFHEdy_fwi","E","eastside","E",0.600875538813045,235851.727446718,0.00640552347887044,750501529.611552,73,17763,445198.307431891,250112.852087552,235851.727446718,264373.976283188,0
"2011_eastside_RaDFHEdy_fwx",2011,"RaDFHEdy_fwx","A","eastside","A",0.07486098473995,5385.51383421039,0.000993693000490735,14594025.1133549,8,6925,76209.6804768648,4298.6365204439,3211.75958772582,5385.51383421039,0
"2011_eastside_RaDFHEdy_fwx",2011,"RaDFHEdy_fwx","B","eastside","B",0.0341512708933245,11341.8575324513,0.000418129270244455,6140987.25292413,3,6925,76209.6804768648,12948.2687364162,11341.8575324513,14554.6785686068,0
"2011_eastside_RaDFHEdy_fwx",2011,"RaDFHEdy_fwx","C","eastside","C",0.0128277521044476,3423.0049724106,5.87228052005977e-05,862242.66584294,3,6925,76209.6804768648,4471.51566568622,3423.0049724106,5520.02597791343,0
"2011_eastside_RaDFHEdy_fwx",2011,"RaDFHEdy_fwx","D","eastside","D",0.06256847156256,9864.03393162924,0.00098480569431406,14463329.7378338,5,6925,76209.6804768648,11676.5852337837,9864.03393162924,13489.1372980351,0
"2011_eastside_RaDFHEdy_fwx",2011,"RaDFHEdy_fwx","E","eastside","E",0.382930371004881,46195.2702061632,0.00724055852361695,143272379.584551,25,7266,76209.6804768648,42814.6743205347,40373.4346887219,45255.9138761378,939.356330025403
"2011_eastside_RaDFHEwt_fhc",2011,"RaDFHEwt_fhc","A","eastside","A",0.0508519212042966,2130.41657820003,0.00126249140433414,32289311.4896793,2,7550,30934.788903727,1432.9722734485,1008.29961511729,1857.64502458408,272.771553615955
"2011_eastside_RaDFHEwt_fhc",2011,"RaDFHEwt_fhc","B","eastside","B",0.104517861933319,5969.50418786455,0.0035691042639829,91272312.438365,3,7550,30934.788903727,5259.8156771214,4550.12688796514,5969.50418786455,0
"2011_eastside_RaDFHEwt_fhc",2011,"RaDFHEwt_fhc","C",NA,NA,0,23.8140645199226,NA,NA,NA,NA,30934.788903727,187.207969204318,23.8140645199226,350.601842953924,0
"2011_eastside_RaDFHEwt_fhc",2011,"RaDFHEwt_fhc","D",NA,NA,0,705.693808647646,NA,NA,NA,NA,30934.788903727,1075.6106532277,705.693808647646,1445.52746687297,0
"2011_eastside_RaDFHEwt_fhc",2011,"RaDFHEwt_fhc","E","eastside","E",0.0380738488299011,22105.3602644948,0.00140896711936064,36027603.1947416,1,7550,30934.788903727,22979.1821451163,22105.3602644948,23853.0063767818,0
"2011_eastside_RaDFHEwt_fwm",2011,"RaDFHEwt_fwm","A","eastside","A",0.265901879377514,17947.3261950341,0.00506047159389352,400156821.104267,18,14475,298871.280509589,13844.4215550698,9741.51781171926,17947.3261950341,0
"2011_eastside_RaDFHEwt_fwm",2011,"RaDFHEwt_fwm","B","eastside","B",0.256172397621561,57673.3646441495,0.00499336915877881,394562720.984136,17,14475,298871.280509589,50816.8279912294,43960.2886484678,57673.3646441495,0
"2011_eastside_RaDFHEwt_fwm",2011,"RaDFHEwt_fwm","C","eastside","C",0.0781649921317631,3387.28096961531,0.00102172862368934,80730555.7091529,11,14475,298871.280509589,1808.67843164604,230.07559480549,3387.28096961531,4.54747350886464e-13
"2011_eastside_RaDFHEwt_fwm",2011,"RaDFHEwt_fwm","D","eastside","D",0.0502736379860411,13965.7214529774,0.000764485997268285,60405581.2689496,6,14475,298871.280509589,10391.8321298514,6817.94250785403,13965.7214529774,0
"2011_eastside_RaDFHEwt_fwm",2011,"RaDFHEwt_fwm","E","eastside","E",0.412696035050738,205897.587247813,0.0071971072355125,568589825.114042,32,14475,298871.280509589,222009.518608565,213567.234899715,230451.825031632,-7669.64765190214
"2011_eastside_RaDFHEwt_fwn",2011,"RaDFHEwt_fwn","A","eastside","A",0.413602082934507,12874.0713630692,0.0141557204830064,362415110.892992,14,7550,214387.934550215,9930.95401195183,6987.83730399822,12874.0713630692,0
"2011_eastside_RaDFHEwt_fwn",2011,"RaDFHEwt_fwn","B","eastside","B",0.334221815387543,41370.564289545,0.0132509475691862,339093153.140424,8,7550,214387.934550215,36452.1969955011,31533.8277719658,41370.564289545,0
"2011_eastside_RaDFHEwt_fwn",2011,"RaDFHEwt_fwn","C","eastside","C",0.180346417141323,2429.78237848376,0.00669774358907392,171337345.1661,5,7550,214387.934550215,1297.41082035373,165.039047835774,2429.78237848376,0
"2011_eastside_RaDFHEwt_fwn",2011,"RaDFHEwt_fwn","D","eastside","D",0.0752744838657004,10017.9654990684,0.00230354999987132,58887626.9470648,3,7550,214387.934550215,7454.32422517396,4890.68273689161,10017.9654990684,0
"2011_eastside_RaDFHEwt_fwn",2011,"RaDFHEwt_fwn","E","eastside","E",0.337181148967321,147695.551020049,0.0123851662389776,316690436.08424,9,7550,214387.934550215,159253.047210907,153197.183415158,165308.927300139,-5501.63239510881
"2011_eastside_RaDFHEwt_fww",2011,"RaDFHEwt_fww","A","eastside","A",0.036176461720093,1314.8762574421,0.00141918530836368,36291866.1243245,1,7550,19092.7069732343,884.419150325136,622.314545367403,1146.52381256099,168.352444881106
"2011_eastside_RaDFHEwt_fww",2011,"RaDFHEwt_fww","B","eastside","B",0.0307396463005814,3684.33075748778,0.00101193094680496,25874410.2670272,1,7550,19092.7069732343,3246.31662330186,2808.30231728159,3684.33075748778,0
"2011_eastside_RaDFHEwt_fww",2011,"RaDFHEwt_fww","C",NA,NA,0,14.6978522186004,NA,NA,NA,NA,19092.7069732343,115.543277511801,14.6978522186004,216.388683712295,0
"2011_eastside_RaDFHEwt_fww",2011,"RaDFHEwt_fww","D",NA,NA,0,435.548635656341,NA,NA,NA,NA,19092.7069732343,663.858385563171,435.548635656341,892.168116377293,0
"2011_eastside_RaDFHEwt_fww",2011,"RaDFHEwt_fww","E","eastside","E",0.0298528628284932,13643.2534704295,0.000562748140685223,44466991.8601706,2,14475,19092.7069732343,14182.5694219761,13643.2534704295,14721.8868245684,0
"2011_eastside_RaDFWV_fwx",2011,"RaDFWV_fwx","A","eastside","A",0.00709078753683235,2245.0731629937,4.66459829049834e-05,685054.60532271,1,6925,21476.2064539618,2663.22954942514,2245.0731629937,3081.38615061864,0
"2011_eastside_RaDFWV_fwx",2011,"RaDFWV_fwx","B","eastside","B",0.00735992848114415,3001.36874761146,5.56892486141792e-05,817866.109056078,1,6925,21476.2064539618,3491.39261736769,3001.36874761146,3981.41605759979,0
"2011_eastside_RaDFWV_fwx",2011,"RaDFWV_fwx","C","eastside","C",0.0345076210930256,2189.93624583033,0.000358900648024885,9178156.28951396,3,7550,21476.2064539618,1806.74043898013,1423.54471803477,2189.93624583033,0
"2011_eastside_RaDFWV_fwx",2011,"RaDFWV_fwx","D",NA,NA,0,6215.61528036069,NA,NA,NA,NA,21476.2064539618,6826.22283063774,6215.61528036069,7436.83038091479,0
"2011_eastside_RaDFWV_fwx",2011,"RaDFWV_fwx","E","eastside","E",0.0505389034724225,7824.2130171656,0.000738093571261336,58315960.3448547,4,14475,21476.2064539618,6688.62082426522,6062.05258687571,7315.18944822645,509.023568939152
"2011_eastside_RaMCONdy_fdd",2011,"RaMCONdy_fdd","A","eastside","A",2.50166836192732,865536.793362703,0.0215990483625483,5490260643.15647,447,23960,5321349.15226459,743178.994686073,620821.190688094,865536.793362703,0
"2011_eastside_RaMCONdy_fdd",2011,"RaMCONdy_fdd","B","eastside","B",3.49370916262263,60191.8396233867,0.0256149458455677,7053608857.47613,601,24303,5321349.15226459,34921.2207780076,9650.60193262843,60191.8396233867,0
"2011_eastside_RaMCONdy_fdd",2011,"RaMCONdy_fdd","C","eastside","C",3.48076173494903,1824075.50639255,0.0283462926006089,7870306311.88511,580,24303,5321349.15226459,1682269.61521374,1530245.55575934,1834293.67998948,0
"2011_eastside_RaMCONdy_fdd",2011,"RaMCONdy_fdd","D","eastside","D",0.137118392488369,2035117.65076614,0.00130973680974074,329464004.219229,21,23960,5321349.15226459,2205764.0216823,2035117.65076614,2376410.38727711,0
"2011_eastside_RaMCONdy_fdd",2011,"RaMCONdy_fdd","E","eastside","E",0.654605582080691,536427.362119809,0.00516569707151301,1418430265.84539,118,24303,5321349.15226459,655215.26797638,545875.330512996,764555.210761113,-9447.96839318727
"2011_eastside_RaMCONdy_fdg",2011,"RaMCONdy_fdg","A","eastside","A",0.620391965440627,166027.767737293,0.00536998801265687,484998798.750162,113,14816,1020744.26861597,142557.024107083,119086.279456129,166027.767737293,0
"2011_eastside_RaMCONdy_fdg",2011,"RaMCONdy_fdg","B","eastside","B",1.17131193978907,11546.0334503472,0.00997180379307128,899003644.173329,170,14816,1020744.26861597,6698.60874418559,1851.18403802398,11546.0334503472,5.45696821063757e-12
"2011_eastside_RaMCONdy_fdg",2011,"RaMCONdy_fdg","C","eastside","C",1.15869463466465,348272.595671735,0.0104001491566144,939758537.889134,174,14816,1020744.26861597,322693.929464381,293532.586553106,351855.2733964,0
"2011_eastside_RaMCONdy_fdg",2011,"RaMCONdy_fdg","D","eastside","D",0.123375400164567,375915.90411736,0.00183194892062789,26907759.1769896,9,6925,1020744.26861597,423110.928944279,390377.443490002,455844.413377811,-14461.5393726414
"2011_eastside_RaMCONdy_fdg",2011,"RaMCONdy_fdg","E","eastside","E",0.845901858033525,118981.967639235,0.014002016032066,277098032.890972,58,7266,1020744.26861597,125683.771231577,104710.121259918,146657.422223979,0
"2011_eastside_RaMCONdy_fdx",2011,"RaMCONdy_fdx","A",NA,NA,0,217.960049869112,NA,NA,NA,NA,1868.23765682519,260.917850700163,217.960049869112,303.875649662975,0
"2011_eastside_RaMCONdy_fdx",2011,"RaMCONdy_fdx","B",NA,NA,0,3.38816668962486,NA,NA,NA,NA,1868.23765682519,12.2602629169739,3.38816668962486,21.1323591443229,0
"2011_eastside_RaMCONdy_fdx",2011,"RaMCONdy_fdx","C",NA,NA,0,537.243899931346,NA,NA,NA,NA,1868.23765682519,590.617032287313,537.243899931346,643.990166511519,0
"2011_eastside_RaMCONdy_fdx",2011,"RaMCONdy_fdx","D",NA,NA,0,714.496140440791,NA,NA,NA,NA,1868.23765682519,774.407258283989,714.496140440791,834.318374258948,0
"2011_eastside_RaMCONdy_fdx",2011,"RaMCONdy_fdx","E","eastside","E",0.0154161863376548,395.149399894316,0.000251605277163358,3695144.17483958,1,6925,1868.23765682519,230.035241427326,191.647798183337,268.422686539552,126.726713354764
"2011_eastside_RaMCONdy_fmd",2011,"RaMCONdy_fmd","A","eastside","A",1.19238887816322,481910.9153882,0.0105081319362371,2686054147.46456,204,23962,2482796.80387728,346747.108659478,289658.284753544,403835.930082615,78074.9853055857
"2011_eastside_RaMCONdy_fmd",2011,"RaMCONdy_fmd","B","eastside","B",1.66097639064051,28083.875491019,0.0162065986528307,3775411517.72966,224,23619,2482796.80387728,16293.2919555245,4502.70842003009,28083.875491019,1.81898940354586e-11
"2011_eastside_RaMCONdy_fmd",2011,"RaMCONdy_fmd","C","eastside","C",1.46779505666825,740612.306792658,0.0131444607405686,3362966198.12789,215,23962,2482796.80387728,784901.254249599,713970.96230189,855831.548680106,0
"2011_eastside_RaMCONdy_fmd",2011,"RaMCONdy_fmd","D","eastside","D",0.177647858138234,949530.552169484,0.00296720258955861,308170100.711297,13,16069,2482796.80387728,1029149.50822381,949530.552169484,1108768.46179534,0
"2011_eastside_RaMCONdy_fmd",2011,"RaMCONdy_fmd","E","eastside","E",0.58638482874511,282659.154035915,0.00535737387329558,1244740669.06896,84,23619,2482796.80387728,305705.625892082,254690.584498923,356720.669768038,0
"2011_eastside_RaMCONdy_fmx",2011,"RaMCONdy_fmx","A","eastside","A",0.467960215625949,96108.102038749,0.00523583712011992,413699659.964253,68,14475,590875.825535638,82521.6480709598,68935.1935122948,96108.102038749,0
"2011_eastside_RaMCONdy_fmx",2011,"RaMCONdy_fmx","B","eastside","B",1.08960965345451,6683.62513157809,0.0150458820750126,297532342.178788,82,7266,590875.825535638,3877.60783318199,1071.59053478589,6683.62513157809,0
"2011_eastside_RaMCONdy_fmx",2011,"RaMCONdy_fmx","C","eastside","C",0.868023482414023,203677.631635455,0.0119380618183118,943820513.673953,90,14475,590875.825535638,186797.073302344,169916.515560109,203677.631635455,0
"2011_eastside_RaMCONdy_fmx",2011,"RaMCONdy_fmx","D","eastside","D",0.0273325513742846,225653.242515265,0.000371691272124122,5459504.08638629,2,6925,590875.825535638,244925.22477945,225976.869314589,263873.579653435,-323.626799323567
"2011_eastside_RaMCONdy_fmx",2011,"RaMCONdy_fmx","E","eastside","E",0.484815542134687,58753.2242145907,0.00720642645098999,105817090.112839,32,6925,590875.825535638,72754.2680044476,60613.3007489542,84895.2358508168,-1860.07653436345
"2011_eastside_RaMCONms_fcm",2011,"RaMCONms_fcm","A","eastside","A",1.05373423041827,380465.59026798,0.00592895456549492,1627922162.59493,282,24303,2290116.75329527,332434.435713799,284403.301770667,380465.59026798,0
"2011_eastside_RaMCONms_fcm",2011,"RaMCONms_fcm","B","eastside","B",0.664209198707619,951070.608754977,0.00448925737665554,1233025688.10871,136,24303,2290116.75329527,1016922.03659115,951070.608754977,1082773.37511277,0
"2011_eastside_RaMCONms_fcm",2011,"RaMCONms_fcm","C","eastside","C",1.8838549530585,397963.980769945,0.0132647139797353,3646483254.90555,387,24303,2290116.75329527,286619.761498826,239297.038531459,333942.505077244,64021.4756927001
"2011_eastside_RaMCONms_fcm",2011,"RaMCONms_fcm","D","eastside","D",0.262646387944595,178401.448540702,0.00161060717614873,404821803.785166,59,23960,2290116.75329527,220807.929781319,178401.448540702,263214.431632986,0
"2011_eastside_RaMCONms_fcm",2011,"RaMCONms_fcm","E","eastside","E",0.70468376733562,382215.12496166,0.00650507142105425,960980365.353538,108,18447,2290116.75329527,433332.592000289,382215.12496166,484450.102551135,0
"2011_eastside_RaMCONms_fmm",2011,"RaMCONms_fmm","A","eastside","A",0.74104031977337,293353.455933896,0.00532697670281855,1463846007.32497,175,24303,1765767.21063813,256319.607035655,219285.77402932,293353.455933896,0
"2011_eastside_RaMCONms_fmm",2011,"RaMCONms_fmm","B","eastside","B",0.748964529747305,733311.650388446,0.00423033189980395,1161248431.70675,172,24303,1765767.21063813,784085.608475737,733311.650388446,834859.497698106,0
"2011_eastside_RaMCONms_fmm",2011,"RaMCONms_fmm","C","eastside","C",1.25582519910009,280728.176027559,0.00985648342134766,2511649190.25511,251,23962,1765767.21063813,220994.748869162,184507.127697162,257482.385933067,23245.7900944921
"2011_eastside_RaMCONms_fmm",2011,"RaMCONms_fmm","D","eastside","D",0.0631911049901619,137554.309277132,0.000417259617446167,96955414.3080949,15,23619,1765767.21063813,170251.320896943,137554.309277132,202948.34840866,0
"2011_eastside_RaMCONms_fmm",2011,"RaMCONms_fmm","E","eastside","E",0.612198699977732,320819.619011093,0.00402497168906369,1104338922.52986,128,24303,1765767.21063813,334115.927126396,294702.413794463,373529.474007905,0
"2011_eastside_RaMCONsw_fdm",2011,"RaMCONsw_fdm","A","eastside","A",0.107139172052516,30117.1484494762,0.00155518131620269,122908478.353973,9,14475,181517.61055001,26493.4547618633,22456.8719470157,30530.039391887,0
"2011_eastside_RaMCONsw_fdm",2011,"RaMCONsw_fdm","B","eastside","B",0.183673186507215,7149.99755739639,0.00358049535360916,282902450.452041,11,14475,181517.61055001,5216.29426407696,3282.59115227513,7149.99755739639,0
"2011_eastside_RaMCONsw_fdm",2011,"RaMCONsw_fdm","C","eastside","C",0.0585240293548274,19413.9916806097,0.000946838490313597,74821203.0887748,4,14475,181517.61055001,22848.0679917341,19413.9916806097,26282.1426692,0
"2011_eastside_RaMCONsw_fdm",2011,"RaMCONsw_fdm","D","eastside","D",0.0145560878217203,87833.3423106269,0.000190634418941116,4875663.68097276,1,7550,181517.61055001,94135.9756337044,88597.030912593,99674.9203548157,-763.688601966118
