"YEAR","STATE","BpS","PVT","BpS_Code","sclass","AREA_TOTAL"
"2002","Oregon","Na0210290","fdw","Na0210290_fdw","A",7396.190515
"2002","Oregon","Na0210290","fdw","Na0210290_fdw","B",28843.074735
"2002","Oregon","Na0210290","fdw","Na0210290_fdw","C",1469.14137
"2002","Oregon","Na0210290","fdw","Na0210290_fdw","D",153.230155
"2002","Oregon","Na0210290","fdw","Na0210290_fdw","E",19585.660465
"2002","Oregon","Na0210290","fwo","Na0210290_fwo","A",23892.33964
"2002","Oregon","Na0210290","fwo","Na0210290_fwo","B",147719.65169
"2002","Oregon","Na0210290","fwo","Na0210290_fwo","C",27580.98311
"2002","Oregon","Na0210290","fwo","Na0210290_fwo","D",601.80087
"2002","Oregon","Na0210290","fwo","Na0210290_fwo","E",16514.16312
"2002","Oregon","Na0210350","fvg","Na0210350_fvg","A",13483.80885
"2002","Oregon","Na0210350","fvg","Na0210350_fvg","B",25466.45145
"2002","Oregon","Na0210350","fvg","Na0210350_fvg","C",3264.536205
"2002","Oregon","Na0210350","fvg","Na0210350_fvg","D",177.916
"2002","Oregon","Na0210350","fvg","Na0210350_fvg","E",50715.84538
"2002","Oregon","Na0710270","fdd","Na0710270_fdd","A",51303.85776
"2002","Oregon","Na0710270","fdd","Na0710270_fdd","B",1133044.035115
"2002","Oregon","Na0710270","fdd","Na0710270_fdd","C",185717.6166
"2002","Oregon","Na0710270","fdd","Na0710270_fdd","D",3892.80208
"2002","Oregon","Na0710270","fdd","Na0710270_fdd","E",29309.659445
"2002","Oregon","Na0710412","fmc","Na0710412_fmc","A",12864.21638
"2002","Oregon","Na0710412","fmc","Na0710412_fmc","B",76441.831795
"2002","Oregon","Na0710412","fmc","Na0710412_fmc","C",5401.307365
"2002","Oregon","Na0710412","fmc","Na0710412_fmc","D",5618.809675
"2002","Oregon","Na0710412","fmc","Na0710412_fmc","E",195914.87214
"2002","Oregon","Na0710412","fmh","Na0710412_fmh","A",14496.15089
"2002","Oregon","Na0710412","fmh","Na0710412_fmh","B",217809.2151
"2002","Oregon","Na0710412","fmh","Na0710412_fmh","C",13606.57089
"2002","Oregon","Na0710412","fmh","Na0710412_fmh","D",29539.83827
"2002","Oregon","Na0710412","fmh","Na0710412_fmh","E",387123.42129
"2002","Oregon","Na0710412","fmi","Na0710412_fmi","A",5249.633975
"2002","Oregon","Na0710412","fmi","Na0710412_fmi","B",20443.88277
"2002","Oregon","Na0710412","fmi","Na0710412_fmi","C",2523.29367
"2002","Oregon","Na0710412","fmi","Na0710412_fmi","D",3677.301325
"2002","Oregon","Na0710412","fmi","Na0710412_fmi","E",38386.26658
"2002","Oregon","R1RFWF","fcw","R1RFWF_fcw","A",4252.859585
"2002","Oregon","R1RFWF","fcw","R1RFWF_fcw","B",63900.31056
"2002","Oregon","R1RFWF","fcw","R1RFWF_fcw","C",5831.864085
"2002","Oregon","R1RFWF","fcw","R1RFWF_fcw","D",1633.046485
"2002","Oregon","R1RFWF","fcw","R1RFWF_fcw","E",73936.774515
"2002","Oregon","R1RFWF","frm","R1RFWF_frm","A",63.60497
"2002","Oregon","R1RFWF","frm","R1RFWF_frm","B",1585.453955
"2002","Oregon","R1RFWF","frm","R1RFWF_frm","C",121.205275
"2002","Oregon","R1RFWF","frm","R1RFWF_frm","D",64.49455
"2002","Oregon","R1RFWF","frm","R1RFWF_frm","E",1967.75096
"2002","Oregon","RaABAMlw","fsi","RaABAMlw_fsi","A",41147.07811
"2002","Oregon","RaABAMlw","fsi","RaABAMlw_fsi","B",408612.56056
"2002","Oregon","RaABAMlw","fsi","RaABAMlw_fsi","C",99702.124845
"2002","Oregon","RaABAMlw","fsi","RaABAMlw_fsi","D",19165.778705
"2002","Oregon","RaABAMlw","fsi","RaABAMlw_fsi","E",366941.742225
"2002","Oregon","RaABAMlw","fsw","RaABAMlw_fsw","A",12872.889785
"2002","Oregon","RaABAMlw","fsw","RaABAMlw_fsw","B",125707.661775
"2002","Oregon","RaABAMlw","fsw","RaABAMlw_fsw","C",34549.730435
"2002","Oregon","RaABAMlw","fsw","RaABAMlw_fsw","D",6811.06927
"2002","Oregon","RaABAMlw","fsw","RaABAMlw_fsw","E",125460.13614
"2002","Oregon","RaABAMlw","fwc","RaABAMlw_fwc","A",3359.721265
"2002","Oregon","RaABAMlw","fwc","RaABAMlw_fwc","B",35778.46281
"2002","Oregon","RaABAMlw","fwc","RaABAMlw_fwc","C",9556.535545
"2002","Oregon","RaABAMlw","fwc","RaABAMlw_fwc","D",2655.3963
"2002","Oregon","RaABAMlw","fwc","RaABAMlw_fwc","E",40469.885335
"2002","Oregon","RaABAMup","fsi","RaABAMup_fsi","A",2848.657555
"2002","Oregon","RaABAMup","fsi","RaABAMup_fsi","B",22983.411275
"2002","Oregon","RaABAMup","fsi","RaABAMup_fsi","C",1966.638985
"2002","Oregon","RaABAMup","fsi","RaABAMup_fsi","D",3311.90634
"2002","Oregon","RaABAMup","fsi","RaABAMup_fsi","E",17974.85348
"2002","Oregon","RaABAMup","fst","RaABAMup_fst","A",92.51632
"2002","Oregon","RaABAMup","fst","RaABAMup_fst","B",981.20674
"2002","Oregon","RaABAMup","fst","RaABAMup_fst","C",66.940895
"2002","Oregon","RaABAMup","fst","RaABAMup_fst","D",33.80404
"2002","Oregon","RaABAMup","fst","RaABAMup_fst","E",1472.2549
"2002","Oregon","RaABAMup","fsw","RaABAMup_fsw","A",29.80093
"2002","Oregon","RaABAMup","fsw","RaABAMup_fsw","B",330.701365
"2002","Oregon","RaABAMup","fsw","RaABAMup_fsw","C",85.622075
"2002","Oregon","RaABAMup","fsw","RaABAMup_fsw","D",4.225505
"2002","Oregon","RaABAMup","fsw","RaABAMup_fsw","E",59.824255
"2002","Oregon","RaDFHEdy","fdg","RaDFHEdy_fdg","A",45.590975
"2002","Oregon","RaDFHEdy","fdg","RaDFHEdy_fdg","B",237.740255
"2002","Oregon","RaDFHEdy","fdg","RaDFHEdy_fdg","C",100.96733
"2002","Oregon","RaDFHEdy","fdg","RaDFHEdy_fdg","D",69.38724
"2002","Oregon","RaDFHEdy","fdg","RaDFHEdy_fdg","E",900.69975
"2002","Oregon","RaDFHEdy","fwi","RaDFHEdy_fwi","A",257411.09275
"2002","Oregon","RaDFHEdy","fwi","RaDFHEdy_fwi","B",1272664.72809
"2002","Oregon","RaDFHEdy","fwi","RaDFHEdy_fwi","C",270075.820815
"2002","Oregon","RaDFHEdy","fwi","RaDFHEdy_fwi","D",90323.95009
"2002","Oregon","RaDFHEdy","fwi","RaDFHEdy_fwi","E",1074490.989935
"2002","Oregon","RaDFHEdy","fwx","RaDFHEdy_fwx","A",2192.592305
"2002","Oregon","RaDFHEdy","fwx","RaDFHEdy_fwx","B",37341.232475
"2002","Oregon","RaDFHEdy","fwx","RaDFHEdy_fwx","C",23795.597815
"2002","Oregon","RaDFHEdy","fwx","RaDFHEdy_fwx","D",6148.554565
"2002","Oregon","RaDFHEdy","fwx","RaDFHEdy_fwx","E",41311.872805
"2002","Oregon","RaDFHEwt","fdm","RaDFHEwt_fdm","A",11482.69864
"2002","Oregon","RaDFHEwt","fdm","RaDFHEwt_fdm","B",51125.274575
"2002","Oregon","RaDFHEwt","fdm","RaDFHEwt_fdm","C",16162.77902
"2002","Oregon","RaDFHEwt","fdm","RaDFHEwt_fdm","D",5437.11296
"2002","Oregon","RaDFHEwt","fdm","RaDFHEwt_fdm","E",58850.832085
"2002","Oregon","RaDFHEwt","fhc","RaDFHEwt_fhc","A",13719.54755
"2002","Oregon","RaDFHEwt","fhc","RaDFHEwt_fhc","B",65705.935565
"2002","Oregon","RaDFHEwt","fhc","RaDFHEwt_fhc","C",6767.47985
"2002","Oregon","RaDFHEwt","fhc","RaDFHEwt_fhc","D",4893.57958
"2002","Oregon","RaDFHEwt","fhc","RaDFHEwt_fhc","E",45075.685785
"2002","Oregon","RaDFHEwt","fwc","RaDFHEwt_fwc","A",44.479
"2002","Oregon","RaDFHEwt","fwc","RaDFHEwt_fwc","B",209.718485
"2002","Oregon","RaDFHEwt","fwc","RaDFHEwt_fwc","C",16.90202
"2002","Oregon","RaDFHEwt","fwc","RaDFHEwt_fwc","D",5.115085
"2002","Oregon","RaDFHEwt","fwc","RaDFHEwt_fwc","E",89.180395
"2002","Oregon","RaDFHEwt","fwm","RaDFHEwt_fwm","A",67809.347475
"2002","Oregon","RaDFHEwt","fwm","RaDFHEwt_fwm","B",298151.855195
"2002","Oregon","RaDFHEwt","fwm","RaDFHEwt_fwm","C",73417.0374
"2002","Oregon","RaDFHEwt","fwm","RaDFHEwt_fwm","D",19562.75378
"2002","Oregon","RaDFHEwt","fwm","RaDFHEwt_fwm","E",269803.83173
"2002","Oregon","RaDFHEwt","fwn","RaDFHEwt_fwn","A",204134.59134
"2002","Oregon","RaDFHEwt","fwn","RaDFHEwt_fwn","B",784892.00165
"2002","Oregon","RaDFHEwt","fwn","RaDFHEwt_fwn","C",198568.711675
"2002","Oregon","RaDFHEwt","fwn","RaDFHEwt_fwn","D",118473.152425
"2002","Oregon","RaDFHEwt","fwn","RaDFHEwt_fwn","E",557565.17013
"2002","Oregon","RaDFHEwt","fww","RaDFHEwt_fww","A",50469.209325
"2002","Oregon","RaDFHEwt","fww","RaDFHEwt_fww","B",173191.663015
"2002","Oregon","RaDFHEwt","fww","RaDFHEwt_fww","C",70080.000425
"2002","Oregon","RaDFHEwt","fww","RaDFHEwt_fww","D",45661.029425
"2002","Oregon","RaDFHEwt","fww","RaDFHEwt_fww","E",164937.47259
"2002","Oregon","RaDFWV","fwx","RaDFWV_fwx","A",219052.180755
"2002","Oregon","RaDFWV","fwx","RaDFWV_fwx","B",314672.690165
"2002","Oregon","RaDFWV","fwx","RaDFWV_fwx","C",81741.949435
