"YEAR","STATE","ew","BpS","PVT","BpS_Code","sclass","AREA_TOTAL"
"2012","Oregon","eastside","Na0210290","fdw","Na0210290_fdw","A",341.821115
"2012","Oregon","eastside","Na0210290","fdw","Na0210290_fdw","B",3815.186225
"2012","Oregon","eastside","Na0210290","fdw","Na0210290_fdw","C",236.850675
"2012","Oregon","eastside","Na0210290","fdw","Na0210290_fdw","D",173.91289
"2012","Oregon","eastside","Na0210290","fdw","Na0210290_fdw","E",5078.389825
"2012","Oregon","eastside","Na0210290","fwo","Na0210290_fwo","A",24392.950785
"2012","Oregon","eastside","Na0210290","fwo","Na0210290_fwo","B",152743.777135
"2012","Oregon","eastside","Na0210290","fwo","Na0210290_fwo","C",22694.742565
"2012","Oregon","eastside","Na0210290","fwo","Na0210290_fwo","D",635.16012
"2012","Oregon","eastside","Na0210290","fwo","Na0210290_fwo","E",15842.307825
"2012","Oregon","eastside","Na0210350","fvg","Na0210350_fvg","A",313.799345
"2012","Oregon","eastside","Na0210350","fvg","Na0210350_fvg","B",581.78532
"2012","Oregon","eastside","Na0210350","fvg","Na0210350_fvg","C",282.664045
"2012","Oregon","eastside","Na0210350","fvg","Na0210350_fvg","D",31.1353
"2012","Oregon","eastside","Na0210350","fvg","Na0210350_fvg","E",751.25031
"2012","Oregon","eastside","Na0710270","fdd","Na0710270_fdd","A",55075.899355
"2012","Oregon","eastside","Na0710270","fdd","Na0710270_fdd","B",1145971.18928
"2012","Oregon","eastside","Na0710270","fdd","Na0710270_fdd","C",165827.05259
"2012","Oregon","eastside","Na0710270","fdd","Na0710270_fdd","D",4997.438045
"2012","Oregon","eastside","Na0710270","fdd","Na0710270_fdd","E",31396.39173
"2012","Oregon","eastside","Na0710412","fmc","Na0710412_fmc","A",1396.6406
"2012","Oregon","eastside","Na0710412","fmc","Na0710412_fmc","B",3103.077435
"2012","Oregon","eastside","Na0710412","fmc","Na0710412_fmc","C",329.58939
"2012","Oregon","eastside","Na0710412","fmc","Na0710412_fmc","D",818.191205
"2012","Oregon","eastside","Na0710412","fmc","Na0710412_fmc","E",10991.872875
"2012","Oregon","eastside","Na0710412","fmh","Na0710412_fmh","A",36688.280755
"2012","Oregon","eastside","Na0710412","fmh","Na0710412_fmh","B",215596.162455
"2012","Oregon","eastside","Na0710412","fmh","Na0710412_fmh","C",24981.852745
"2012","Oregon","eastside","Na0710412","fmh","Na0710412_fmh","D",32267.957735
"2012","Oregon","eastside","Na0710412","fmh","Na0710412_fmh","E",352398.443595
"2012","Oregon","eastside","Na0710412","fmi","Na0710412_fmi","A",5451.123845
"2012","Oregon","eastside","Na0710412","fmi","Na0710412_fmi","B",15719.990575
"2012","Oregon","eastside","Na0710412","fmi","Na0710412_fmi","C",2306.68094
"2012","Oregon","eastside","Na0710412","fmi","Na0710412_fmi","D",3682.194015
"2012","Oregon","eastside","Na0710412","fmi","Na0710412_fmi","E",21398.40211
"2012","Oregon","eastside","R1RFWF","fcw","R1RFWF_fcw","A",3678.4133
"2012","Oregon","eastside","R1RFWF","fcw","R1RFWF_fcw","B",64935.559285
"2012","Oregon","eastside","R1RFWF","fcw","R1RFWF_fcw","C",4763.923295
"2012","Oregon","eastside","R1RFWF","fcw","R1RFWF_fcw","D",2425.88466
"2012","Oregon","eastside","R1RFWF","fcw","R1RFWF_fcw","E",73481.08716
"2012","Oregon","eastside","R1RFWF","frm","R1RFWF_frm","A",48.704505
"2012","Oregon","eastside","R1RFWF","frm","R1RFWF_frm","B",1726.897175
"2012","Oregon","eastside","R1RFWF","frm","R1RFWF_frm","C",80.0622
"2012","Oregon","eastside","R1RFWF","frm","R1RFWF_frm","D",82.953335
"2012","Oregon","eastside","R1RFWF","frm","R1RFWF_frm","E",1863.892495
"2012","Oregon","eastside","RaABAMlw","fsi","RaABAMlw_fsi","A",9819.406435
"2012","Oregon","eastside","RaABAMlw","fsi","RaABAMlw_fsi","B",54025.305375
"2012","Oregon","eastside","RaABAMlw","fsi","RaABAMlw_fsi","C",16901.57521
"2012","Oregon","eastside","RaABAMlw","fsi","RaABAMlw_fsi","D",2219.94689
"2012","Oregon","eastside","RaABAMlw","fsi","RaABAMlw_fsi","E",52051.327355
"2012","Oregon","eastside","RaABAMlw","fsw","RaABAMlw_fsw","A",1870.564345
"2012","Oregon","eastside","RaABAMlw","fsw","RaABAMlw_fsw","B",8626.479655
"2012","Oregon","eastside","RaABAMlw","fsw","RaABAMlw_fsw","C",2789.27809
"2012","Oregon","eastside","RaABAMlw","fsw","RaABAMlw_fsw","D",227.510085
"2012","Oregon","eastside","RaABAMlw","fsw","RaABAMlw_fsw","E",8478.364585
"2012","Oregon","eastside","RaABAMlw","fwc","RaABAMlw_fwc","A",952.517785
"2012","Oregon","eastside","RaABAMlw","fwc","RaABAMlw_fwc","B",4091.62321
"2012","Oregon","eastside","RaABAMlw","fwc","RaABAMlw_fwc","C",1576.78055
"2012","Oregon","eastside","RaABAMlw","fwc","RaABAMlw_fwc","D",404.536505
"2012","Oregon","eastside","RaABAMlw","fwc","RaABAMlw_fwc","E",4382.07108
"2012","Oregon","eastside","RaDFHEdy","fwi","RaDFHEdy_fwi","A",50279.50639
"2012","Oregon","eastside","RaDFHEdy","fwi","RaDFHEdy_fwi","B",198835.585675
"2012","Oregon","eastside","RaDFHEdy","fwi","RaDFHEdy_fwi","C",48796.798925
"2012","Oregon","eastside","RaDFHEdy","fwi","RaDFHEdy_fwi","D",22031.560675
"2012","Oregon","eastside","RaDFHEdy","fwi","RaDFHEdy_fwi","E",171366.02246
"2012","Oregon","eastside","RaDFHEdy","fwx","RaDFHEdy_fwx","A",2378.959315
