"YEAR","ew","BpS","PVT","BpS_Code","sclass","AREA_TOTAL"
"2017","eastside","Na0210290","fdw","Na0210290_fdw","A",290.670265
"2017","eastside","Na0210290","fdw","Na0210290_fdw","B",3783.161345
"2017","eastside","Na0210290","fdw","Na0210290_fdw","C",259.75736
"2017","eastside","Na0210290","fdw","Na0210290_fdw","D",183.031085
"2017","eastside","Na0210290","fdw","Na0210290_fdw","E",5129.540675
"2017","eastside","Na0210290","fwo","Na0210290_fwo","A",27316.110665
"2017","eastside","Na0210290","fwo","Na0210290_fwo","B",149665.385545
"2017","eastside","Na0210290","fwo","Na0210290_fwo","C",22813.946285
"2017","eastside","Na0210290","fwo","Na0210290_fwo","D",848.436925
"2017","eastside","Na0210290","fwo","Na0210290_fwo","E",15665.05901
"2017","eastside","Na0210350","fvg","Na0210350_fvg","A",312.020185
"2017","eastside","Na0210350","fvg","Na0210350_fvg","B",616.701335
"2017","eastside","Na0210350","fvg","Na0210350_fvg","C",323.80712
"2017","eastside","Na0210350","fvg","Na0210350_fvg","D",29.80093
"2017","eastside","Na0210350","fvg","Na0210350_fvg","E",678.30475
"2017","eastside","Na0710270","fdd","Na0710270_fdd","A",68045.530965
"2017","eastside","Na0710270","fdd","Na0710270_fdd","B",1127741.02634
"2017","eastside","Na0710270","fdd","Na0710270_fdd","C",168946.36486
"2017","eastside","Na0710270","fdd","Na0710270_fdd","D",6891.57626
"2017","eastside","Na0710270","fdd","Na0710270_fdd","E",31643.472575
"2017","eastside","Na0710412","fmc","Na0710412_fmc","A",1138.884795
"2017","eastside","Na0710412","fmc","Na0710412_fmc","B",3242.296705
"2017","eastside","Na0710412","fmc","Na0710412_fmc","C",520.626695
"2017","eastside","Na0710412","fmc","Na0710412_fmc","D",922.49446
"2017","eastside","Na0710412","fmc","Na0710412_fmc","E",10815.06885
"2017","eastside","Na0710412","fmh","Na0710412_fmh","A",129028.463915
"2017","eastside","Na0710412","fmh","Na0710412_fmh","B",469849.02381
"2017","eastside","Na0710412","fmh","Na0710412_fmh","C",84659.327045
"2017","eastside","Na0710412","fmh","Na0710412_fmh","D",106923.290495
"2017","eastside","Na0710412","fmh","Na0710412_fmh","E",628938.84227
"2017","eastside","Na0710412","fmi","Na0710412_fmi","A",5525.18138
"2017","eastside","Na0710412","fmi","Na0710412_fmi","B",16631.14289
"2017","eastside","Na0710412","fmi","Na0710412_fmi","C",2828.642005
"2017","eastside","Na0710412","fmi","Na0710412_fmi","D",3440.89544
"2017","eastside","Na0710412","fmi","Na0710412_fmi","E",20132.52977
"2017","eastside","Na1010471","frn","Na1010471_frn","A",28002.19924
"2017","eastside","Na1010471","frn","Na1010471_frn","B",441760.9801
"2017","eastside","Na1010471","frn","Na1010471_frn","C",180583.628025
"2017","eastside","Na1010471","frn","Na1010471_frn","D",916.2674
"2017","eastside","Na1010471","frn","Na1010471_frn","E",34736.542235
"2017","eastside","R1RFWF","fcw","R1RFWF_fcw","A",4562.878215
"2017","eastside","R1RFWF","fcw","R1RFWF_fcw","B",63425.497235
"2017","eastside","R1RFWF","fcw","R1RFWF_fcw","C",4411.42722
"2017","eastside","R1RFWF","fcw","R1RFWF_fcw","D",2197.040205
"2017","eastside","R1RFWF","fcw","R1RFWF_fcw","E",74688.024825
"2017","eastside","R1RFWF","frm","R1RFWF_frm","A",45.590975
"2017","eastside","R1RFWF","frm","R1RFWF_frm","B",1726.67478
"2017","eastside","R1RFWF","frm","R1RFWF_frm","C",81.618965
"2017","eastside","R1RFWF","frm","R1RFWF_frm","D",66.051315
"2017","eastside","R1RFWF","frm","R1RFWF_frm","E",1882.573675
"2017","eastside","RaABAMlw","fsi","RaABAMlw_fsi","A",20433.20781
"2017","eastside","RaABAMlw","fsi","RaABAMlw_fsi","B",193598.628215
"2017","eastside","RaABAMlw","fsi","RaABAMlw_fsi","C",56045.541555
"2017","eastside","RaABAMlw","fsi","RaABAMlw_fsi","D",3310.794365
"2017","eastside","RaABAMlw","fsi","RaABAMlw_fsi","E",197074.88446
"2017","eastside","RaABAMlw","fsw","RaABAMlw_fsw","A",1675.746325
"2017","eastside","RaABAMlw","fsw","RaABAMlw_fsw","B",8855.7689
"2017","eastside","RaABAMlw","fsw","RaABAMlw_fsw","C",2716.554925
"2017","eastside","RaABAMlw","fsw","RaABAMlw_fsw","D",245.52408
"2017","eastside","RaABAMlw","fsw","RaABAMlw_fsw","E",8503.49522
"2017","eastside","RaABAMlw","fwc","RaABAMlw_fwc","A",987.4338
"2017","eastside","RaABAMlw","fwc","RaABAMlw_fwc","B",3951.95915
"2017","eastside","RaABAMlw","fwc","RaABAMlw_fwc","C",1713.998265
"2017","eastside","RaABAMlw","fwc","RaABAMlw_fwc","D",410.54117
"2017","eastside","RaABAMlw","fwc","RaABAMlw_fwc","E",4343.596745
"2017","eastside","RaABLA","faf","RaABLA_faf","A",518.62514
"2017","eastside","RaABLA","faf","RaABLA_faf","B",8016.89496
"2017","eastside","RaABLA","faf","RaABLA_faf","C",242.632945
"2017","eastside","RaABLA","faf","RaABLA_faf","D",0.44479
"2017","eastside","RaABLA","faf","RaABLA_faf","E",6594.234145
"2017","eastside","RaDFHEdy","fwi","RaDFHEdy_fwi","A",52387.143805
