"strataID","BpS","SCLASS","YEAR","STATE","ew","PVT","BpS_Code","sclass","AREA_TOTAL","AREA_STRATA","avg","low","high","departure"
"2013_Oregon_eastside_Na0210290_fdw","Na0210290","A",2013,"Oregon","eastside","fdw","Na0210290_fdw","A",718.457915948098,9646.16073,893.040036290005,718.457915948098,1067.62214698575,0
"2013_Oregon_eastside_Na0210290_fdw","Na0210290","B",2013,"Oregon","eastside","fdw","Na0210290_fdw","B",703.238782317947,9646.16073,105.424260372994,45.695541809977,165.15297893601,538.085803381937
"2013_Oregon_eastside_Na0210290_fdw","Na0210290","C",2013,"Oregon","eastside","fdw","Na0210290_fdw","C",1805.95201254595,9646.16073,2043.0298237178,1805.95201254595,2280.10781816669,0
"2013_Oregon_eastside_Na0210290_fdw","Na0210290","D",2013,"Oregon","eastside","fdw","Na0210290_fdw","D",5967.57578609143,9646.16073,6262.48386457918,5967.57578609143,6557.39194306692,0
"2013_Oregon_eastside_Na0210290_fdw","Na0210290","E",2013,"Oregon","eastside","fdw","Na0210290_fdw","E",450.936233096571,9646.16073,342.182638932261,233.42902547563,450.936233096572,0
"2013_Oregon_eastside_Na0210290_fwo","Na0210290","A",2013,"Oregon","eastside","fwo","Na0210290_fwo","A",24879.551045,216308.93843,20025.8473430371,16110.9557942607,23940.7386755047,938.81236949535
"2013_Oregon_eastside_Na0210290_fwo","Na0210290","B",2013,"Oregon","eastside","fwo","Na0210290_fwo","B",7001.08127900281,216308.93843,2364.07110397073,1024.6930790982,3703.44912884326,3297.63215015956
"2013_Oregon_eastside_Na0210290_fwo","Na0210290","C",2013,"Oregon","eastside","fwo","Na0210290_fwo","C",40497.3101344266,216308.93843,45813.6272781375,40497.3101344266,51129.9485317181,0
"2013_Oregon_eastside_Na0210290_fwo","Na0210290","D",2013,"Oregon","eastside","fwo","Na0210290_fwo","D",133819.041525551,216308.93843,140432.165148271,133819.041525551,147045.288770991,0
"2013_Oregon_eastside_Na0210290_fwo","Na0210290","E",2013,"Oregon","eastside","fwo","Na0210290_fwo","E",10111.9544460195,216308.93843,7673.22517718544,5234.49547573347,10111.9544460195,0
"2013_Oregon_eastside_Na0210350_fvg","Na0210350","A",2013,"Oregon","eastside","fvg","Na0210350_fvg","A",125.106795664989,1960.63432,99.1231775983322,73.1395556104066,125.106795664989,0
"2013_Oregon_eastside_Na0210350_fvg","Na0210350","B",2013,"Oregon","eastside","fvg","Na0210350_fvg","B",235.820849275663,1960.63432,199.648936130797,163.477003379588,235.820849275663,2.8421709430404e-14
"2013_Oregon_eastside_Na0210350_fvg","Na0210350","C",2013,"Oregon","eastside","fvg","Na0210350_fvg","C",210.951693008546,1960.63432,176.32481852687,141.697926399485,210.951693008546,0
"2013_Oregon_eastside_Na0210350_fvg","Na0210350","D",2013,"Oregon","eastside","fvg","Na0210350_fvg","D",706.340943436621,1960.63432,861.719142866779,797.356360907949,926.081924825608,-91.0154174713286
"2013_Oregon_eastside_Na0210350_fvg","Na0210350","E",2013,"Oregon","eastside","fvg","Na0210350_fvg","E",682.414038614181,1960.63432,623.818264483565,565.222527605001,682.414038614181,0
"2013_Oregon_eastside_Na0710270_fdd","Na0710270","A",2013,"Oregon","eastside","fdd","Na0710270_fdd","A",102809.49051231,1403267.971,126668.321246755,102809.49051231,150527.153384467,0
"2013_Oregon_eastside_Na0710270_fdd","Na0710270","B",2013,"Oregon","eastside","fdd","Na0710270_fdd","B",216048.660764176,1403267.971,88517.081336826,66538.0641665293,110496.091490783,105552.569273394
"2013_Oregon_eastside_Na0710270_fdd","Na0710270","C",2013,"Oregon","eastside","fdd","Na0710270_fdd","C",249311.717732421,1403267.971,281363.059824046,249311.717732421,313414.401915672,0
"2013_Oregon_eastside_Na0710270_fdd","Na0710270","D",2013,"Oregon","eastside","fdd","Na0710270_fdd","D",554930.270048274,1403267.971,593265.868497696,554930.270048274,631601.415026204,0
"2013_Oregon_eastside_Na0710270_fdd","Na0710270","E",2013,"Oregon","eastside","fdd","Na0710270_fdd","E",280167.831942819,1403267.971,313453.640094677,280167.831942819,346739.473505358,0
"2013_Oregon_eastside_Na0710412_fmc","Na0710412","A",2013,"Oregon","eastside","fmc","Na0710412_fmc","A",2101.47568062766,16639.371505,2454.47994710624,2101.47568062766,2807.48421358481,0
"2013_Oregon_eastside_Na0710412_fmc","Na0710412","B",2013,"Oregon","eastside","fmc","Na0710412_fmc","B",3355.53189824944,16639.371505,3775.67945646122,3355.53189824944,4195.82669852494,0
"2013_Oregon_eastside_Na0710412_fmc","Na0710412","C",2013,"Oregon","eastside","fmc","Na0710412_fmc","C",2274.2629909816,16639.371505,2652.80401705696,2274.2629909816,3031.34489337797,0
"2013_Oregon_eastside_Na0710412_fmc","Na0710412","D",2013,"Oregon","eastside","fmc","Na0710412_fmc","D",813.298515,16639.371505,819.713228873537,584.05510156836,1055.37137281808,0
"2013_Oregon_eastside_Na0710412_fmc","Na0710412","E",2013,"Oregon","eastside","fmc","Na0710412_fmc","E",8094.8024201413,16639.371505,6936.69477230519,6486.19323997033,7387.19695357554,707.605466565757
"2013_Oregon_eastside_Na0710412_fmh","Na0710412","A",2013,"Oregon","eastside","fmh","Na0710412_fmh","A",83599.0388903033,661932.697285,97641.9410632045,83599.0388903033,111684.843236106,0
"2013_Oregon_eastside_Na0710412_fmh","Na0710412","B",2013,"Oregon","eastside","fmh","Na0710412_fmh","B",166914.65077635,661932.697285,150200.72638849,133486.789423908,166914.65077635,0
"2013_Oregon_eastside_Na0710412_fmh","Na0710412","C",2013,"Oregon","eastside","fmh","Na0710412_fmh","C",85029.0584011937,661932.697285,105531.493052567,90472.7101924215,120590.269955319,-5443.65179122782
"2013_Oregon_eastside_Na0710412_fmh","Na0710412","D",2013,"Oregon","eastside","fmh","Na0710412_fmh","D",32519.04169,661932.697285,32609.1035605168,23234.3612634671,41983.8465194992,0
"2013_Oregon_eastside_Na0710412_fmh","Na0710412","E",2013,"Oregon","eastside","fmh","Na0710412_fmh","E",293870.907527153,661932.697285,275949.429910558,258027.978109339,293870.907527153,0
