"strataID","BpS","SCLASS","YEAR","STATE","ew","MAP_ZONE","PVT","BpS_Code","sclass","AREA_TOTAL","AREA_STRATA","avg","low","high","departure"
"2002_Oregon_Na0210290_fdw","Na0210290","A",2002,"Oregon","eastside","OSW","fdw","Na0210290_fdw","A",1239.407335,50778.783165,4701.09172236796,3782.06622803249,5620.11716592464,-2542.65889303249
"2002_Oregon_Na0210290_fdw","Na0210290","A",2002,"Oregon","westside","OCR","fdw","Na0210290_fdw","A",3289.66684,50778.783165,4701.09172236796,3782.06622803249,5620.11716592464,-492.399388032493
"2002_Oregon_Na0210290_fdw","Na0210290","A",2002,"Oregon","westside","OWC","fdw","Na0210290_fdw","A",396.75268,50778.783165,4701.09172236796,3782.06622803249,5620.11716592464,-3385.31354803249
"2002_Oregon_Na0210290_fdw","Na0210290","B",2002,"Oregon","eastside","OSW","fdw","Na0210290_fdw","B",3418.70301723411,50778.783165,554.968531797495,240.547931360876,869.389132234113,2549.313885
"2002_Oregon_Na0210290_fdw","Na0210290","B",2002,"Oregon","westside","OCR","fdw","Na0210290_fdw","B",11868.6010422341,50778.783165,554.968531797495,240.547931360876,869.389132234113,10999.21191
"2002_Oregon_Na0210290_fdw","Na0210290","B",2002,"Oregon","westside","OWC","fdw","Na0210290_fdw","B",869.389132234113,50778.783165,554.968531797495,240.547931360876,869.389132234113,0
"2002_Oregon_Na0210290_fdw","Na0210290","C",2002,"Oregon","eastside","OSW","fdw","Na0210290_fdw","C",844.831527765887,50778.783165,10754.8040429754,9506.79220658874,12002.8168441589,-8661.96067882285
"2002_Oregon_Na0210290_fdw","Na0210290","C",2002,"Oregon","westside","OCR","fdw","Na0210290_fdw","C",3863.62125776589,50778.783165,10754.8040429754,9506.79220658874,12002.8168441589,-5643.17094882285
"2002_Oregon_Na0210290_fdw","Na0210290","C",2002,"Oregon","westside","OWC","fdw","Na0210290_fdw","C",421.613842765887,50778.783165,10754.8040429754,9506.79220658874,12002.8168441589,-9085.17836382285
"2002_Oregon_Na0210290_fdw","Na0210290","D",2002,"Oregon","eastside","OSW","fdw","Na0210290_fdw","D",-250.710891530274,50778.783165,32966.619480513,31414.1807652257,34519.0581958003,-31664.8916567559
"2002_Oregon_Na0210290_fdw","Na0210290","D",2002,"Oregon","westside","OCR","fdw","Na0210290_fdw","D",3322.95436346973,50778.783165,32966.619480513,31414.1807652257,34519.0581958003,-28091.2264017559
"2002_Oregon_Na0210290_fdw","Na0210290","D",2002,"Oregon","westside","OWC","fdw","Na0210290_fdw","D",-225.357861530274,50778.783165,32966.619480513,31414.1807652257,34519.0581958003,-31639.5386267559
"2002_Oregon_Na0210290_fdw","Na0210290","E",2002,"Oregon","eastside","OSW","fdw","Na0210290_fdw","E",2969.71216153027,50778.783165,1801.2988287796,1228.80410153027,2373.79345447136,595.918707058911
"2002_Oregon_Na0210290_fdw","Na0210290","E",2002,"Oregon","westside","OCR","fdw","Na0210290_fdw","E",17520.7946165303,50778.783165,1801.2988287796,1228.80410153027,2373.79345447136,15147.0011620589
"2002_Oregon_Na0210290_fdw","Na0210290","E",2002,"Oregon","westside","OWC","fdw","Na0210290_fdw","E",1228.80410153027,50778.783165,1801.2988287796,1228.80410153027,2373.79345447136,0
"2002_Oregon_Na0210290_fwo","Na0210290","A",2002,"Oregon","eastside","OSW","fwo","Na0210290_fwo","A",14561.8337115545,195510.11324,18100.2953931613,14561.8337115545,21638.756879258,0
"2002_Oregon_Na0210290_fwo","Na0210290","B",2002,"Oregon","eastside","OSW","fwo","Na0210290_fwo","B",14253.3695854912,195510.11324,2136.75779003604,926.165425177584,3347.3501548945,10906.0194305967
"2002_Oregon_Na0210290_fwo","Na0210290","C",2002,"Oregon","eastside","OSW","fwo","Na0210290_fwo","C",36603.358824487,195510.11324,41408.4943604048,36603.358824487,46213.6336110148,0
"2002_Oregon_Na0210290_fwo","Na0210290","D",2002,"Oregon","eastside","OSW","fwo","Na0210290_fwo","D",120951.894786333,195510.11324,126929.144537233,120951.894786333,132906.394288132,0
"2002_Oregon_Na0210290_fwo","Na0210290","E",2002,"Oregon","eastside","OSW","fwo","Na0210290_fwo","E",9139.65633213431,195510.11324,6935.41900855393,4731.18129395333,9139.65633213431,0
"2002_Oregon_Na0210350_fvg","Na0210350","A",2002,"Oregon","eastside","OEC","fvg","Na0210350_fvg","A",19.57076,77698.363545,3928.17192385514,2898.4618515385,4957.88184077506,-2878.8910915385
"2002_Oregon_Na0210350_fvg","Na0210350","A",2002,"Oregon","eastside","OSW","fvg","Na0210350_fvg","A",67.385685,77698.363545,3928.17192385514,2898.4618515385,4957.88184077506,-2831.0761665385
"2002_Oregon_Na0210350_fvg","Na0210350","A",2002,"Oregon","westside","OCR","fvg","Na0210350_fvg","A",5294.78016,77698.363545,3928.17192385514,2898.4618515385,4957.88184077506,336.898319224945
"2002_Oregon_Na0210350_fvg","Na0210350","A",2002,"Oregon","westside","OWC","fvg","Na0210350_fvg","A",125.208385,77698.363545,3928.17192385514,2898.4618515385,4957.88184077506,-2773.2534665385
"2002_Oregon_Na0210350_fvg","Na0210350","B",2002,"Oregon","eastside","OEC","fvg","Na0210350_fvg","B",283.998415,77698.363545,7911.92700373783,6478.46235795486,9345.39087253716,-6194.46394295486
"2002_Oregon_Na0210350_fvg","Na0210350","B",2002,"Oregon","eastside","OSW","fvg","Na0210350_fvg","B",120.98288,77698.363545,7911.92700373783,6478.46235795486,9345.39087253716,-6357.47947795486
"2002_Oregon_Na0210350_fvg","Na0210350","B",2002,"Oregon","westside","OCR","fvg","Na0210350_fvg","B",21547.85155,77698.363545,7911.92700373783,6478.46235795486,9345.39087253716,12202.4606774628
"2002_Oregon_Na0210350_fvg","Na0210350","B",2002,"Oregon","westside","OWC","fvg","Na0210350_fvg","B",978.760395,77698.363545,7911.92700373783,6478.46235795486,9345.39087253716,-5499.70196295486
"2002_Oregon_Na0210350_fvg","Na0210350","C",2002,"Oregon","eastside","OEC","fvg","Na0210350_fvg","C",47.14774,77698.363545,6987.61095435016,5615.37502768993,8359.84618172513,-5568.22728768993
"2002_Oregon_Na0210350_fvg","Na0210350","C",2002,"Oregon","eastside","OSW","fvg","Na0210350_fvg","C",30.912905,77698.363545,6987.61095435016,5615.37502768993,8359.84618172513,-5584.46212268993
"2002_Oregon_Na0210350_fvg","Na0210350","C",2002,"Oregon","westside","OCR","fvg","Na0210350_fvg","C",6333.587205,77698.363545,6987.61095435016,5615.37502768993,8359.84618172513,0
"2002_Oregon_Na0210350_fvg","Na0210350","C",2002,"Oregon","westside","OWC","fvg","Na0210350_fvg","C",218.83668,77698.363545,6987.61095435016,5615.37502768993,8359.84618172513,-5396.53834768993
"2002_Oregon_Na0210350_fvg","Na0210350","D",2002,"Oregon","eastside","OEC","fvg","Na0210350_fvg","D",2.891135,77698.363545,34149.2375978346,31598.5922376102,36699.8829580589,-31595.7011026102
"2002_Oregon_Na0210350_fvg","Na0210350","D",2002,"Oregon","eastside","OSW","fvg","Na0210350_fvg","D",4.670295,77698.363545,34149.2375978346,31598.5922376102,36699.8829580589,-31593.9219426102
