"type","REST_ACRES","YEAR","ew","BpS_Code","AREA_STRATA","REST_PCT"
"active",6748.66138539748,2002,"eastside","Na0210290_fdw",9646.16073,0.699621494426154
"both",1036.108229188,2002,"eastside","Na0210290_fdw",9646.16073,0.107411462258311
"active",19318.5356984071,2002,"eastside","Na0210290_fwo",216308.93843,0.0893099279143234
"both",126815.031981571,2002,"eastside","Na0210290_fwo",216308.93843,0.586268107559547
"active",223.845586385819,2002,"eastside","Na0210350_fvg",1960.63432,0.1141699826951
"both",285.250635724337,2002,"eastside","Na0210350_fvg",1960.63432,0.145488953658802
"passive",166.554211326465,2002,"eastside","Na0210350_fvg",1960.63432,0.0849491461143376
"active",115099.733884731,2002,"eastside","Na0710270_fdd",1403267.971,0.0820226330703668
"both",551037.467968274,2002,"eastside","Na0710270_fdd",1403267.971,0.392681568564265
"passive",250858.172497819,2002,"eastside","Na0710270_fdd",1403267.971,0.178767119097753
"active",3177.02962160926,2002,"eastside","Na0710412_fmc",16639.371505,0.190934472534289
"both",468.622403249438,2002,"eastside","Na0710412_fmc",16639.371505,0.0281634677793341
"active",207671.596959286,2002,"eastside","Na0710412_fmh",1419398.947535,0.146309532862441
"active",5785.40443653998,2002,"eastside","Na0710412_fmi",48558.391485,0.119143247121914
"active",50845.6583673192,2002,"eastside","Na1010471_frn",685999.617,0.074119076902224
"both",50259.2900412447,2002,"eastside","Na1010471_frn",685999.617,0.0732643121012773
"passive",210693.870139667,2002,"eastside","Na1010471_frn",685999.617,0.307134092962134
"active",42231.7659164228,2002,"eastside","R1RFWF_fcw",149284.8677,0.282893816145458
"active",1124.68961467504,2002,"eastside","R1RFWF_frm",3802.50971,0.295775606231138
"active",28078.1023776052,2002,"eastside","RaABAMlw_fsi",470463.056405,0.0596818432294375
"both",24044.5381740523,2002,"eastside","RaABAMlw_fsi",470463.056405,0.0511082386740128
"passive",46045.6212044328,2002,"eastside","RaABAMlw_fsi",470463.056405,0.0978729797750457
"both",975.923392577603,2002,"eastside","RaABAMlw_fsw",21997.08945,0.0443660237321808
"passive",2722.22175390761,2002,"eastside","RaABAMlw_fsw",21997.08945,0.123753724786877
"active",629.518394821594,2002,"eastside","RaABAMlw_fwc",11407.52913,0.0551844652463836
"both",219.882683744976,2002,"eastside","RaABAMlw_fwc",11407.52913,0.0192752243925216
"passive",1547.00810401311,2002,"eastside","RaABAMlw_fwc",11407.52913,0.135612899724685
"active",1631.54129966492,2002,"eastside","RaABLA_faf",15372.83198,0.106131472833864
"both",246.101330497359,2002,"eastside","RaABLA_faf",15372.83198,0.016008848
"passive",1507.33800139541,2002,"eastside","RaABLA_faf",15372.83198,0.0980520702598229
"both",48538.5254994925,2002,"eastside","RaDFHEdy_fwi",499288.78433,0.0972153331355655
"passive",80742.7990248898,2002,"eastside","RaDFHEdy_fwi",499288.78433,0.161715627426399
"active",2476.50433234667,2002,"eastside","RaDFHEdy_fwx",110789.849965,0.0223531698357659
"both",8191.2882541367,2002,"eastside","RaDFHEdy_fwx",110789.849965,0.0739353673348636
"passive",17381.0221624983,2002,"eastside","RaDFHEdy_fwx",110789.849965,0.156882802603209
"active",49.4042773899006,2002,"eastside","RaDFHEwt_fdm",18634.92184,0.00265116633244224
"passive",5733.34976350574,2002,"eastside","RaDFHEwt_fdm",18634.92184,0.307666960598625
"passive",11775.3115367096,2002,"eastside","RaDFHEwt_fhc",31311.659235,0.376067951185009
"passive",126379.617037205,2002,"eastside","RaDFHEwt_fwm",306700.94139,0.412061392653181
"passive",86626.2119862117,2002,"eastside","RaDFHEwt_fwn",177401.37797,0.488306308425975
"passive",15960.1260650471,2002,"eastside","RaDFHEwt_fww",32283.30299,0.494377110978727
"active",12532.8567929084,2002,"eastside","RaDFWV_fwx",38536.827995,0.325217653994108
"active",230472.306482125,2002,"eastside","RaMCONdy_fdd",4248197.74101,0.0542517840582748
"both",1605337.4844598,2002,"eastside","RaMCONdy_fdd",4248197.74101,0.377886713926394
"passive",133736.954228994,2002,"eastside","RaMCONdy_fdd",4248197.74101,0.0314808684487456
"active",11602.4988430613,2002,"eastside","RaMCONdy_fdg",1049415.73129,0.0110561510534999
"both",391715.635421877,2002,"eastside","RaMCONdy_fdg",1049415.73129,0.373270214789289
"passive",460.469291235844,2002,"eastside","RaMCONdy_fdg",1049415.73129,0.000438786343206243
"active",1190.15958543638,2002,"eastside","RaMCONdy_fdx",4451.680715,0.267350616908828
"both",1028.65727409306,2002,"eastside","RaMCONdy_fdx",4451.680715,0.231071664826947
"active",34554.3433622523,2002,"eastside","RaMCONdy_fmd",2050495.021305,0.0168517080037877
"both",744886.58609114,2002,"eastside","RaMCONdy_fmd",2050495.021305,0.363271589714503
"both",223262.735960191,2002,"eastside","RaMCONdy_fmx",596169.8286,0.374495194573138
"passive",4893.99417952292,2002,"eastside","RaMCONdy_fmx",596169.8286,0.00820906048032589
"active",25712.9263992821,2002,"eastside","RaMCONms_fcm",2203967.80925,0.0116666524308411
"both",325688.339012668,2002,"eastside","RaMCONms_fcm",2203967.80925,0.147773637004026
"passive",149985.718240734,2002,"eastside","RaMCONms_fcm",2203967.80925,0.0680525902471204
"active",55455.9549726197,2002,"eastside","RaMCONms_fmm",1769570.105205,0.0313386594910831
"both",102206.771329663,2002,"eastside","RaMCONms_fmm",1769570.105205,0.0577579667677662
"passive",113527.883046402,2002,"eastside","RaMCONms_fmm",1769570.105205,0.0641556289363567
"active",51605.8283941845,2002,"eastside","RaMCONsw_fdm",252622.9284,0.204280065633918
"both",101993.439241087,2002,"eastside","RaMCONsw_fdm",252622.9284,0.403737855020001
"active",255888.928482903,2002,"eastside","RaMCONsw_fiw",1105278.24176,0.231515394780084
"both",376526.080270906,2002,"eastside","RaMCONsw_fiw",1105278.24176,0.340661804462323
"active",17207.2883984087,2002,"eastside","RaMCONsw_fvw",110519.19525,0.155695020756213
"both",45641.6708183655,2002,"eastside","RaMCONsw_fvw",110519.19525,0.412975055736895
"active",272863.42178582,2002,"eastside","RaMEVG_ftd",430468.873975,0.633874917055365
"active",33567.2587370339,2002,"eastside","RaMEVG_fuc",108908.16587,0.308216178914463
"passive",11579.7152772641,2002,"eastside","RaMEVG_fuc",108908.16587,0.106325500799329
"active",35546.7346563608,2002,"eastside","RaOAPI_fop",84077.096935,0.422787369595337
"active",33026.5009029261,2002,"eastside","RaPICOpu_fld",357333.388645,0.0924248949368035
"both",1549.20699196694,2002,"eastside","RaPICOpu_fld",357333.388645,0.00433546665717833
"passive",20276.9158448343,2002,"eastside","RaPICOpu_fld",357333.388645,0.0567450915284571
"active",13497.6496353503,2002,"eastside","RaPICOpu_flp",24914.91185,0.541749845097295
"both",2226.57812382101,2002,"eastside","RaPICOpu_flp",24914.91185,0.0893672888439704
"active",12963.3991627329,2002,"eastside","RaPICOpu_flw",75354.765035,0.172031578317732
"both",3274.18951904494,2002,"eastside","RaPICOpu_flw",75354.765035,0.0434503314757093
"active",35582.3978084268,2002,"eastside","RaPIJEsp_fjp",81797.103395,0.435008042235905
"both",4470.17495541028,2002,"eastside","RaPIJEsp_fjp",81797.103395,0.0546495507771675
"passive",3928.79061147973,2002,"eastside","RaPIJEsp_fjp",81797.103395,0.0480309258936409
"active",425742.548547176,2002,"eastside","RaPIPOm_fdp",1048723.860445,0.405962488892475
"both",210880.703571492,2002,"eastside","RaPIPOm_fdp",1048723.860445,0.201083155943463
"passive",16500.9787778792,2002,"eastside","RaPIPOm_fdp",1048723.860445,0.0157343409454586
"active",243149.386105273,2002,"eastside","RaPIPOm_fpd",608117.110395,0.399839738019107
"both",46801.0678997314,2002,"eastside","RaPIPOm_fpd",608117.110395,0.0769606167952287
"passive",26431.538214255,2002,"eastside","RaPIPOm_fpd",608117.110395,0.0434645527357165
"active",358260.666838649,2002,"eastside","RaPIPOm_fpl",962769.74971,0.372114586012452
"both",110609.950428447,2002,"eastside","RaPIPOm_fpl",962769.74971,0.114887230785725
"passive",47589.7923638545,2002,"eastside","RaPIPOm_fpl",962769.74971,0.0494300868698764
"active",155806.231706639,2002,"eastside","RaPIPOxe_fpd",643144.1005,0.242257110942183
"both",196535.74606796,2002,"eastside","RaPIPOxe_fpd",643144.1005,0.305585864684394
"active",119066.571316814,2002,"eastside","RaPIPOxe_fxp",1012933.16591,0.117546325191008
"both",304021.68617621,2002,"eastside","RaPIPOxe_fxp",1012933.16591,0.300139926707882
"passive",44586.5626037691,2002,"eastside","RaPIPOxe_fxp",1012933.16591,0.044017279820938
"active",26436.7026570516,2002,"eastside","RaREFI_fcw",265840.30804,0.0994458020755594
"both",32884.8376028401,2002,"eastside","RaREFI_fcw",265840.30804,0.123701472682209
"active",757.587975619059,2002,"eastside","RaREFI_frf",56680.256885,0.0133659940383853
"both",10947.3260728919,2002,"eastside","RaREFI_frf",56680.256885,0.193141786479607
"passive",10053.5432747977,2002,"eastside","RaREFI_frf",56680.256885,0.177372930669591
"active",26566.449492213,2002,"eastside","RaREFI_frm",88214.533515,0.301157285921549
"both",1162.83265575391,2002,"eastside","RaREFI_frm",88214.533515,0.0131818716193311
"active",111289.848964633,2002,"eastside","RaSAWD_fal",625052.934435,0.178048678493496
"passive",132742.592550227,2002,"eastside","RaSAWD_fal",625052.934435,0.212370161369159
"active",13207.1933643502,2002,"eastside","RaSAWD_fsw",57322.75604,0.230400529854744
"passive",8278.36954864845,2002,"eastside","RaSAWD_fsw",57322.75604,0.144416809667556
"active",183416.881909432,2002,"eastside","RaSPFI_fcd",1397847.76006,0.131213775312384
"passive",131188.155478186,2002,"eastside","RaSPFI_fcd",1397847.76006,0.0938501024407369
"active",15606.0199155899,2002,"eastside","RaSPFI_fmz",240805.525285,0.0648075657612911
"passive",880.895643694421,2002,"eastside","RaSPFI_fmz",240805.525285,0.00365812056285609
"passive",22644.9653587394,2002,"eastside","RaSSHE_fss",38677.826425,0.585476678805882
"active",348570.302619361,2002,"eastside","RaTAOAco_ftm",586701.13908,0.594119014607591
"active",8629.8843879802,2002,"eastside","RaTAOAco_fto",26825.72969,0.321701757518164
"passive",2668.02456265739,2002,"eastside","RaTAOAco_fto",26825.72969,0.0994576696883653
"active",19856.7104168668,2002,"westside","Na0210290_fdw",47801.13651,0.415402475058575
"both",16580.0764399442,2002,"westside","Na0210290_fdw",47801.13651,0.346855276892332
"passive",870.09824110461,2002,"westside","Na0210290_fdw",47801.13651,0.0182024592850964
"active",21667.9018312549,2002,"westside","Na0210350_fvg",91147.923565,0.237722385587895
"both",10399.2446853661,2002,"westside","Na0210350_fvg",91147.923565,0.114091953811215
"passive",7425.30881691144,2002,"westside","Na0210350_fvg",91147.923565,0.0814643770970411
"passive",221727.979675212,2002,"westside","Na0710411_fmt",503602.80254,0.440283450681553
"active",158723.120439915,2002,"westside","Na0710412_fmc",816397.81172,0.194418846010273
"active",163.936461915959,2002,"westside","Na0710412_fmh",642.499155,0.255154361901004
"active",9775.06131182904,2002,"westside","Na0710412_fmi",59105.696755,0.165382727021184
"both",1094.33954870663,2002,"westside","Na0710412_fmi",59105.696755,0.0185149589428376
"active",90.4403382047899,2002,"westside","R1RFWF_fcw",269.98753,0.334979686672158
"active",121968.439816977,2002,"westside","RaABAMlw_fsi",1832523.68025,0.0665576336783476
"both",87742.1165841378,2002,"westside","RaABAMlw_fsi",1832523.68025,0.0478804817257083
"passive",289884.296080174,2002,"westside","RaABAMlw_fsi",1832523.68025,0.158188567604555
"active",20937.9815937688,2002,"westside","RaABAMlw_fsw",283409.290645,0.0738789527545723
"both",10079.0841375222,2002,"westside","RaABAMlw_fsw",283409.290645,0.0355637040500106
"passive",31804.6658789576,2002,"westside","RaABAMlw_fsw",283409.290645,0.112221677019037
"active",10564.9883196899,2002,"westside","RaABAMlw_fwc",370409.99225,0.0285224171613581
"both",16332.8704014743,2002,"westside","RaABAMlw_fwc",370409.99225,0.0440940329451232
"passive",77391.2907192167,2002,"westside","RaABAMlw_fwc",370409.99225,0.208934133361562
"active",1357.24502317606,2002,"westside","RaABAMup_fsi",49085.467635,0.0276506487270029
"passive",9333.6564779725,2002,"westside","RaABAMup_fsi",49085.467635,0.190151116566265
"active",63860.1517836737,2002,"westside","RaABAMup_fst",1466341.86174,0.0435506572170664
"passive",237449.593351731,2002,"westside","RaABAMup_fst",1466341.86174,0.161933311424368
"active",13.9134887897218,2002,"westside","RaABAMup_fsw",510.17413,0.0272720390383609
"passive",228.704964501061,2002,"westside","RaABAMup_fsw",510.17413,0.448288047261552
"active",11578.5287041429,2002,"westside","RaABLA_faf",156228.92918,0.0741125780283793
"both",1795.72025986838,2002,"westside","RaABLA_faf",156228.92918,0.0114941596879246
"passive",16956.3187218934,2002,"westside","RaABLA_faf",156228.92918,0.108535076127656
"both",170919.782673249,2002,"westside","RaDFHEdy_fdg",1480643.6394,0.115436137450677
"passive",420737.685133288,2002,"westside","RaDFHEdy_fdg",1480643.6394,0.284158641510649
"both",584288.717507006,2002,"westside","RaDFHEdy_fwi",5429032.01528,0.107623000907441
"passive",1238379.09332042,2002,"westside","RaDFHEdy_fwi",5429032.01528,0.228103111168806
"passive",35810.2768379374,2002,"westside","RaDFHEwt_fdm",124423.77544,0.287808955413075
"passive",38422.5518691184,2002,"westside","RaDFHEwt_fhc",104850.569095,0.366450580104202
"passive",174.505691687683,2002,"westside","RaDFHEwt_fwc",365.394985,0.477580970870968
"passive",709926.656745146,2002,"westside","RaDFHEwt_fwm",1897063.821225,0.374223918458748
"passive",1183699.02986147,2002,"westside","RaDFHEwt_fwn",2821322.54076,0.419554663729659
"passive",295878.804159991,2002,"westside","RaDFHEwt_fww",890590.785275,0.332227560684482
"active",197715.58920988,2002,"westside","RaDFWV_fwx",1236272.45508,0.159928815365449
"both",75211.1574491182,2002,"westside","RaDFWV_fwx",1236272.45508,0.0608370405245753
"passive",39560.8720822324,2002,"westside","RaDFWV_fwx",1236272.45508,0.0320001241794814
"active",72.9194880968437,2002,"westside","RaMCONdy_fdx",145.00154,0.502887680343558
"both",38.4811868111444,2002,"westside","RaMCONdy_fdx",145.00154,0.265384676680982
"active",44595.0318636127,2002,"westside","RaMCONsw_fiw",106240.76024,0.419754449825769
"both",22193.3131051327,2002,"westside","RaMCONsw_fiw",106240.76024,0.20889640713223
"active",299.069896822279,2002,"westside","RaMCONsw_fvw",3929.71965,0.0761046393786078
"both",1622.83941126339,2002,"westside","RaMCONsw_fvw",3929.71965,0.412965696233164
"passive",105.643190461562,2002,"westside","RaMCONsw_fvw",3929.71965,0.0268831366791171
"active",175843.633216449,2002,"westside","RaSAWD_fal",521709.091465,0.337053036056294
"passive",49616.7098911081,2002,"westside","RaSAWD_fal",521709.091465,0.095104169551235
"both",63527.0041941381,2002,"westside","RaSSHE_fss",1814996.507905,0.0350011715821236
"passive",861868.368420702,2002,"westside","RaSSHE_fss",1814996.507905,0.474859518829341
"active",43.4627535724749,2002,"westside","RaTAOAco_fto",93.85069,0.463105317312796
"both",3.0602878541696,2002,"westside","RaTAOAco_fto",93.85069,0.0326080485308057
"passive",0.24182566627286,2002,"westside","RaTAOAco_fto",93.85069,0.00257670632227488
